rank,city,state,pop_2014
210,Midland,Texas,128037
211,Coral Springs,Florida,127952
212,Concord,California,127522
213,Topeka,Kansas,127215
214,Simi Valley,California,126871
215,Surprise,Arizona,126275
216,Lafayette,Louisiana,126066
217,Kent,Washington,125560
218,Hartford,Connecticut,124705
219,Santa Clara,California,122192
220,Victorville,California,121901
221,Abilene,Texas,120958
222,Murfreesboro,Tennessee,120954
223,Evansville,Indiana,120346
224,Vallejo,California,120228
225,Athens,Georgia,119648
226,Allentown,Pennsylvania,119104
227,Berkeley,California,118853
228,Norman,Oklahoma,118040
229,Ann Arbor,Michigan,117770
230,Beaumont,Texas,117585
231,Independence,Missouri,117494
232,Columbia,Missouri,116906
233,Springfield,Illinois,116809
234,El Monte,California,116631
235,Fargo,North Dakota,115863
236,Peoria,Illinois,115828
237,Provo,Utah,114801
238,Lansing,Michigan,114620
239,Odessa,Texas,114597
240,Downey,California,114172
241,Wilmington,North Carolina,113657
242,Arvada,Colorado,113574
243,Costa Mesa,California,112784
244,Round Rock,Texas,112744
245,Carlsbad,California,112299
246,Miami Gardens,Florida,112265
247,Westminster,Colorado,112090
248,Inglewood,California,111905
249,Rochester,Minnesota,111402
250,Fairfield,California,111125
251,Elgin,Illinois,111117
252,West Jordan,Utah,110920
253,Clearwater,Florida,110703
254,Manchester,New Hampshire,110448
255,Lowell,Massachusetts,109945
256,Gresham,Oregon,109892
257,Cambridge,Massachusetts,109694
258,Ventura,California,109484
259,Temecula,California,109428
260,Waterbury,Connecticut,109307
261,Antioch,California,108930
262,Billings,Montana,108869
263,High Point,North Carolina,108629
264,Richardson,Texas,108617
265,Richmond,California,108565
266,West Covina,California,108455
267,Pueblo,Colorado,108423
268,Murrieta,California,108368
269,Centennial,Colorado,107201
270,Norwalk,California,107096
271,North Charleston,South Carolina,106749
272,Everett,Washington,106736
273,Pompano Beach,Florida,106105
274,Daly City,California,106094
275,Palm Bay,Florida,105838
276,Burbank,California,105368
277,Wichita Falls,Texas,105114
278,Boulder,Colorado,105112
279,Green Bay,Wisconsin,104891
280,Broken Arrow,Oklahoma,104726
281,West Palm Beach,Florida,104031
282,College Station,Texas,103483
283,Pearland,Texas,103441
284,Santa Maria,California,103410
285,El Cajon,California,103091
286,San Mateo,California,102893
287,Lewisville,Texas,102889
288,Rialto,California,102741
289,Davenport,Iowa,102448
290,Lakeland,Florida,102346
291,Clovis,California,102189
292,Edison,New Jersey,101970
293,Sandy Springs,Georgia,101908
294,Tyler,Texas,101421
295,Las Cruces,New Mexico,101408
296,South Bend,Indiana,101190
297,Woodbridge,New Jersey,100824
